time_idx,net.enp0s31f6|received,net.enp0s31f6|sent
1689399780,26.0217862,-0.4395858
1689399810,26.0145463,-0.4384549
1689399840,26.0073064,-0.4373239
1689399870,26.0000665,-0.4361929
1689399900,25.9928266,-0.435062
1689399930,25.9855867,-0.433931
1689399960,25.9783468,-0.4328001
1689399990,25.9711069,-0.4316691
1689400020,25.963867,-0.4305382
1689400050,25.9566271,-0.4294072
1689400080,25.9493872,-0.4282763
1689400110,25.9421472,-0.4271453
1689400140,25.9349073,-0.4260143
1689400170,25.9276674,-0.4248834
1689400200,25.9204275,-0.4237524
1689400230,25.9131876,-0.4226215
1689400260,25.9059477,-0.4214905
1689400290,25.8987078,-0.4203596
1689400320,25.8914679,-0.4192286
1689400350,25.884228,-0.4180977
1689400380,25.8769881,-0.4169667
1689400410,25.8697482,-0.4158357
1689400440,25.8625082,-0.4147048
1689400470,25.8552683,-0.4135738
1689400500,25.8480284,-0.4124429
1689400530,25.8407885,-0.4113119
1689400560,25.8335486,-0.410181
1689400590,25.8263087,-0.40905
1689400620,25.8190688,-0.4079191
1689400650,25.8118289,-0.4067881
1689400680,25.804589,-0.4056571
1689400710,25.7973491,-0.4045262
1689400740,25.7901092,-0.4033952
1689400770,25.7828692,-0.4022643
1689400800,25.7756293,-0.4011333
1689400830,25.7743072,-0.4013224
1689400860,25.7729851,-0.4015115
1689400890,25.771663,-0.4017006
1689400920,25.7703409,-0.4018897
1689400950,25.7690188,-0.4020788
1689400980,25.7676967,-0.4022679
1689401010,25.7663746,-0.402457
1689401040,25.7650525,-0.4026461
1689401070,25.7637304,-0.4028352
1689401100,25.7624083,-0.4030243
1689401130,25.7610862,-0.4032134
1689401160,25.7597641,-0.4034025
1689401190,25.758442,-0.4035916
1689401220,25.7571199,-0.4037807
1689401250,25.7557978,-0.4039698
1689401280,25.7544757,-0.4041589
1689401310,25.7531536,-0.404348
1689401340,25.7518315,-0.4045371
1689401370,25.7505094,-0.4047262
1689401400,25.7491873,-0.4049153
1689401430,25.7478652,-0.4051044
1689401460,25.7465431,-0.4052935
1689401490,25.745221,-0.4054826
1689401520,25.7438989,-0.4056717
1689401550,25.7425768,-0.4058608
1689401580,25.7412547,-0.4060499
1689401610,25.7399326,-0.406239
1689401640,25.7386105,-0.4064281
1689401670,25.7372884,-0.4066172
1689401700,25.7359663,-0.4068063
1689401730,25.7346442,-0.4069954
1689401760,25.733322,-0.4071845
1689401790,25.7319999,-0.4073736
1689401820,25.7306778,-0.4075627
1689401850,25.7293557,-0.4077518
1689401880,25.7280336,-0.4079409
1689401910,25.7267115,-0.40813
1689401940,25.7253894,-0.4083191
1689401970,25.7240673,-0.4085082
1689402000,25.7227452,-0.4086973
1689402030,25.7214231,-0.4088864
1689402060,25.720101,-0.4090755
1689402090,25.7187789,-0.4092646
1689402120,25.7174568,-0.4094537
1689402150,25.7161347,-0.4096428
1689402180,25.7148126,-0.4098319
1689402210,25.7134905,-0.410021
1689402240,25.7121684,-0.4102101
1689402270,25.7108463,-0.4103992
1689402300,25.7095242,-0.4105883
1689402330,25.7082021,-0.4107774
1689402360,25.70688,-0.4109665
1689402390,25.7055579,-0.4111556
1689402420,25.7042358,-0.4113447
1689402450,25.7029137,-0.4115338
1689402480,25.7015916,-0.4117229
1689402510,25.7002695,-0.411912
1689402540,25.6989474,-0.4121011
1689402570,25.6976253,-0.4122902
1689402600,25.6963032,-0.4124793
1689402630,25.6949811,-0.4126684
1689402660,25.693659,-0.4128575
1689402690,25.6923369,-0.4130466
1689402720,25.6910148,-0.4132357
1689402750,25.6896927,-0.4134248
1689402780,25.6883706,-0.4136139
1689402810,25.6870484,-0.413803
1689402840,25.6857263,-0.4139921
1689402870,25.6844042,-0.4141812
1689402900,25.6830821,-0.4143703
1689402930,25.68176,-0.4145594
1689402960,25.6804379,-0.4147485
1689402990,25.6791158,-0.4149376
1689403020,25.6777937,-0.4151267
1689403050,25.6764716,-0.4153158
1689403080,25.6751495,-0.4155049
1689403110,25.6738274,-0.415694
1689403140,25.6725053,-0.4158831
1689403170,25.6711832,-0.4160722
1689403200,25.6698611,-0.4162613
1689403230,25.668539,-0.4164504
1689403260,25.6672169,-0.4166395
1689403290,25.6658948,-0.4168286
1689403320,25.6645727,-0.4170177
1689403350,25.6632506,-0.4172068
1689403380,25.6619285,-0.4173959
1689403410,25.6606064,-0.417585
1689403440,25.6592843,-0.4177741
1689403470,25.6579622,-0.4179632
1689403500,25.6566401,-0.4181523
1689403530,25.655318,-0.4183414
1689403560,25.6539959,-0.4185305
1689403590,25.6526738,-0.4187196
1689403620,25.6513517,-0.4189087
1689403650,25.6500296,-0.4190978
1689403680,25.6487075,-0.4192869
1689403710,25.6473854,-0.419476
1689403740,25.6460633,-0.4196651
1689403770,25.6447412,-0.4198542
1689403800,25.6434191,-0.4200433
1689403830,25.642097,-0.4202324
1689403860,25.6407748,-0.4204215
1689403890,25.6394527,-0.4206106
1689403920,25.6381306,-0.4207997
1689403950,25.6368085,-0.4209888
1689403980,25.6354864,-0.4211779
1689404010,25.6341643,-0.421367
1689404040,25.6328422,-0.4215561
1689404070,25.6315201,-0.4217452
1689404100,25.630198,-0.4219343
1689404130,25.6288759,-0.4221234
1689404160,25.6275538,-0.4223125
1689404190,25.6262317,-0.4225016
1689404220,25.6249096,-0.4226907
1689404250,25.6235875,-0.4228798
1689404280,25.6222654,-0.4230689
1689404310,25.6209433,-0.423258
1689404340,25.6196212,-0.4234471
1689404370,25.6182991,-0.4236362
1689404400,25.616977,-0.4238253
1689404430,25.6161338,-0.424364
1689404460,25.6152905,-0.4249027
1689404490,25.6144473,-0.4254413
1689404520,25.613604,-0.42598
1689404550,25.6127608,-0.4265186
1689404580,25.6119175,-0.4270573
1689404610,25.6110743,-0.427596
1689404640,25.610231,-0.4281346
1689404670,25.6093878,-0.4286733
1689404700,25.6085446,-0.4292119
1689404730,25.6077013,-0.4297506
1689404760,25.6068581,-0.4302893
1689404790,25.6060148,-0.4308279
1689404820,25.6051716,-0.4313666
1689404850,25.6043283,-0.4319052
1689404880,25.6034851,-0.4324439
1689404910,25.6026419,-0.4329826
1689404940,25.6017986,-0.4335212
1689404970,25.6009554,-0.4340599
1689405000,25.6001121,-0.4345985
1689405030,25.5992689,-0.4351372
1689405060,25.5984256,-0.4356758
1689405090,25.5975824,-0.4362145
1689405120,25.5967391,-0.4367532
1689405150,25.5958959,-0.4372918
1689405180,25.5950527,-0.4378305
1689405210,25.5942094,-0.4383691
1689405240,25.5933662,-0.4389078
1689405270,25.5925229,-0.4394465
1689405300,25.5916797,-0.4399851
1689405330,25.5908364,-0.4405238
1689405360,25.5899932,-0.4410624
1689405390,25.58915,-0.4416011
1689405420,25.5883067,-0.4421398
1689405450,25.5874635,-0.4426784
1689405480,25.5866202,-0.4432171
1689405510,25.585777,-0.4437557
1689405540,25.5849337,-0.4442944
1689405570,25.5840905,-0.4448331
1689405600,25.5832473,-0.4453717
1689405630,25.582404,-0.4459104
1689405660,25.5815608,-0.446449
1689405690,25.5807175,-0.4469877
1689405720,25.5798743,-0.4475264
1689405750,25.579031,-0.448065
1689405780,25.5781878,-0.4486037
1689405810,25.5773445,-0.4491423
1689405840,25.5765013,-0.449681
1689405870,25.5756581,-0.4502196
1689405900,25.5748148,-0.4507583
1689405930,25.5739716,-0.451297
1689405960,25.5731283,-0.4518356
1689405990,25.5722851,-0.4523743
1689406020,25.5714418,-0.4529129
1689406050,25.5705986,-0.4534516
1689406080,25.5697554,-0.4539903
1689406110,25.5689121,-0.4545289
1689406140,25.5680689,-0.4550676
1689406170,25.5672256,-0.4556062
1689406200,25.5663824,-0.4561449
1689406230,25.5655391,-0.4566836
1689406260,25.5646959,-0.4572222
1689406290,25.5638526,-0.4577609
1689406320,25.5630094,-0.4582995
1689406350,25.5621662,-0.4588382
1689406380,25.5613229,-0.4593769
1689406410,25.5604797,-0.4599155
1689406440,25.5596364,-0.4604542
1689406470,25.5587932,-0.4609928
1689406500,25.5579499,-0.4615315
1689406530,25.5571067,-0.4620702
1689406560,25.5562635,-0.4626088
1689406590,25.5554202,-0.4631475
1689406620,25.554577,-0.4636861
1689406650,25.5537337,-0.4642248
1689406680,25.5528905,-0.4647634
1689406710,25.5520472,-0.4653021
1689406740,25.551204,-0.4658408
1689406770,25.5503607,-0.4663794
1689406800,25.5495175,-0.4669181
1689406830,25.5486743,-0.4674567
1689406860,25.547831,-0.4679954
1689406890,25.5469878,-0.4685341
1689406920,25.5461445,-0.4690727
1689406950,25.5453013,-0.4696114
1689406980,25.544458,-0.47015
1689407010,25.5436148,-0.4706887
1689407040,25.5427716,-0.4712274
1689407070,25.5419283,-0.471766
1689407100,25.5410851,-0.4723047
1689407130,25.5402418,-0.4728433
1689407160,25.5393986,-0.473382
1689407190,25.5385553,-0.4739207
1689407220,25.5377121,-0.4744593
1689407250,25.5368689,-0.474998
1689407280,25.5360256,-0.4755366
1689407310,25.5351824,-0.4760753
1689407340,25.5343391,-0.476614
1689407370,25.5334959,-0.4771526
1689407400,25.5326526,-0.4776913
1689407430,25.5318094,-0.4782299
1689407460,25.5309661,-0.4787686
1689407490,25.5301229,-0.4793072
1689407520,25.5292797,-0.4798459
1689407550,25.5284364,-0.4803846
1689407580,25.5275932,-0.4809232
1689407610,25.5267499,-0.4814619
1689407640,25.5259067,-0.4820005
1689407670,25.5250634,-0.4825392
1689407700,25.5242202,-0.4830779
1689407730,25.523377,-0.4836165
1689407760,25.5225337,-0.4841552
1689407790,25.5216905,-0.4846938
1689407820,25.5208472,-0.4852325
1689407850,25.520004,-0.4857712
1689407880,25.5191607,-0.4863098
1689407910,25.5183175,-0.4868485
1689407940,25.5174742,-0.4873871
1689407970,25.516631,-0.4879258
1689408000,25.5157878,-0.4884645
1689408030,25.5130585,-0.4878313
1689408060,25.5103293,-0.4871982
1689408090,25.5076,-0.486565
1689408120,25.5048708,-0.4859319
1689408150,25.5021416,-0.4852988
1689408180,25.4994123,-0.4846656
1689408210,25.4966831,-0.4840325
1689408240,25.4939538,-0.4833994
1689408270,25.4912246,-0.4827662
1689408300,25.4884954,-0.4821331
1689408330,25.4857661,-0.4814999
1689408360,25.4830369,-0.4808668
1689408390,25.4803077,-0.4802337
1689408420,25.4775784,-0.4796005
1689408450,25.4748492,-0.4789674
1689408480,25.4721199,-0.4783343
1689408510,25.4693907,-0.4777011
1689408540,25.4666615,-0.477068
1689408570,25.4639322,-0.4764349
1689408600,25.461203,-0.4758017
1689408630,25.4584737,-0.4751686
1689408660,25.4557445,-0.4745354
1689408690,25.4530153,-0.4739023
1689408720,25.450286,-0.4732692
1689408750,25.4475568,-0.472636
1689408780,25.4448275,-0.4720029
1689408810,25.4420983,-0.4713698
1689408840,25.4393691,-0.4707366
1689408870,25.4366398,-0.4701035
1689408900,25.4339106,-0.4694703
1689408930,25.4311814,-0.4688372
1689408960,25.4284521,-0.4682041
1689408990,25.4257229,-0.4675709
1689409020,25.4229936,-0.4669378
1689409050,25.4202644,-0.4663047
1689409080,25.4175352,-0.4656715
1689409110,25.4148059,-0.4650384
1689409140,25.4120767,-0.4644052
1689409170,25.4093474,-0.4637721
1689409200,25.4066182,-0.463139
1689409230,25.403889,-0.4625058
1689409260,25.4011597,-0.4618727
1689409290,25.3984305,-0.4612396
1689409320,25.3957012,-0.4606064
1689409350,25.392972,-0.4599733
1689409380,25.3902428,-0.4593401
1689409410,25.3875135,-0.458707
1689409440,25.3847843,-0.4580739
1689409470,25.382055,-0.4574407
1689409500,25.3793258,-0.4568076
1689409530,25.3765966,-0.4561745
1689409560,25.3738673,-0.4555413
1689409590,25.3711381,-0.4549082
1689409620,25.3684089,-0.454275
1689409650,25.3656796,-0.4536419
1689409680,25.3629504,-0.4530088
1689409710,25.3602211,-0.4523756
1689409740,25.3574919,-0.4517425
1689409770,25.3547627,-0.4511094
1689409800,25.3520334,-0.4504762
1689409830,25.3493042,-0.4498431
1689409860,25.3465749,-0.44921
1689409890,25.3438457,-0.4485768
1689409920,25.3411165,-0.4479437
1689409950,25.3383872,-0.4473105
1689409980,25.335658,-0.4466774
1689410010,25.3329287,-0.4460443
1689410040,25.3301995,-0.4454111
1689410070,25.3274703,-0.444778
1689410100,25.324741,-0.4441449
1689410130,25.3220118,-0.4435117
1689410160,25.3192826,-0.4428786
1689410190,25.3165533,-0.4422454
1689410220,25.3138241,-0.4416123
1689410250,25.3110948,-0.4409792
1689410280,25.3083656,-0.440346
1689410310,25.3056364,-0.4397129
1689410340,25.3029071,-0.4390798
1689410370,25.3001779,-0.4384466
1689410400,25.2974486,-0.4378135
1689410430,25.2947194,-0.4371803
1689410460,25.2919902,-0.4365472
1689410490,25.2892609,-0.4359141
1689410520,25.2865317,-0.4352809
1689410550,25.2838024,-0.4346478
1689410580,25.2810732,-0.4340147
1689410610,25.278344,-0.4333815
1689410640,25.2756147,-0.4327484
1689410670,25.2728855,-0.4321152
1689410700,25.2701562,-0.4314821
1689410730,25.267427,-0.430849
1689410760,25.2646978,-0.4302158
1689410790,25.2619685,-0.4295827
1689410820,25.2592393,-0.4289496
1689410850,25.2565101,-0.4283164
1689410880,25.2537808,-0.4276833
1689410910,25.2510516,-0.4270502
1689410940,25.2483223,-0.426417
1689410970,25.2455931,-0.4257839
1689411000,25.2428639,-0.4251507
1689411030,25.2401346,-0.4245176
1689411060,25.2374054,-0.4238845
1689411090,25.2346761,-0.4232513
1689411120,25.2319469,-0.4226182
1689411150,25.2292177,-0.4219851
1689411180,25.2264884,-0.4213519
1689411210,25.2237592,-0.4207188
1689411240,25.2210299,-0.4200856
1689411270,25.2183007,-0.4194525
1689411300,25.2155715,-0.4188194
1689411330,25.2128422,-0.4181862
1689411360,25.210113,-0.4175531
1689411390,25.2073838,-0.41692
1689411420,25.2046545,-0.4162868
1689411450,25.2019253,-0.4156537
1689411480,25.199196,-0.4150205
1689411510,25.1964668,-0.4143874
1689411540,25.1937376,-0.4137543
1689411570,25.1910083,-0.4131211
1689411600,25.1882791,-0.412488
1689411630,25.1876598,-0.4124142
1689411660,25.1870406,-0.4123404
1689411690,25.1864214,-0.4122667
1689411720,25.1858022,-0.4121929
1689411750,25.1851829,-0.4121191
1689411780,25.1845637,-0.4120453
1689411810,25.1839445,-0.4119715
1689411840,25.1833252,-0.4118977
1689411870,25.182706,-0.411824
1689411900,25.1820868,-0.4117502
1689411930,25.1814675,-0.4116764
1689411960,25.1808483,-0.4116026
